1,5,535,142,24,47,-1,-1,-1
1,4,547,143,22,46,-1,-1,-1
1,3,562,142,19,46,-1,-1,-1
1,2,474,145,71,182,-1,-1,-1
1,1,386,149,101,205,-1,-1,-1
2,3,561,142,17,46,-1,-1,-1
2,2,501,150,53,172,-1,-1,-1
2,1,392,150,104,205,-1,-1,-1
3,4,552,143,20,44,-1,-1,-1
3,2,510,145,59,183,-1,-1,-1
3,1,410,155,91,195,-1,-1,-1
4,2,515,141,65,198,-1,-1,-1
4,1,438,160,72,180,-1,-1,-1
5,2,526,137,72,209,-1,-1,-1
5,1,454,162,67,183,-1,-1,-1
6,2,531,139,79,213,-1,-1,-1
6,1,463,154,75,198,-1,-1,-1
7,2,536,141,81,213,-1,-1,-1
7,1,470,155,77,202,-1,-1,-1
8,2,555,142,72,207,-1,-1,-1
8,1,483,158,77,203,-1,-1,-1
9,2,570,142,68,205,-1,-1,-1
9,1,504,161,69,199,-1,-1,-1
10,7,496,145,23,51,-1,-1,-1
10,2,583,143,71,209,-1,-1,-1
10,1,521,158,70,202,-1,-1,-1
11,7,497,145,23,53,-1,-1,-1
11,2,598,143,73,209,-1,-1,-1
11,1,536,153,80,211,-1,-1,-1
12,9,518,140,19,50,-1,-1,-1
12,7,498,145,23,54,-1,-1,-1
12,2,612,145,76,212,-1,-1,-1
12,1,542,151,90,216,-1,-1,-1
13,9,517,140,20,54,-1,-1,-1
13,7,498,144,23,57,-1,-1,-1
13,2,625,146,72,213,-1,-1,-1
13,1,549,152,94,217,-1,-1,-1
14,7,501,144,23,58,-1,-1,-1
14,2,637,147,68,211,-1,-1,-1
14,1,566,151,91,217,-1,-1,-1
15,10,274,147,76,177,-1,-1,-1
15,7,503,144,24,59,-1,-1,-1
15,2,651,146,66,214,-1,-1,-1
15,1,588,151,85,215,-1,-1,-1
16,11,541,151,19,48,-1,-1,-1
16,10,288,146,73,178,-1,-1,-1
16,7,506,144,23,61,-1,-1,-1
16,2,660,146,71,218,-1,-1,-1
16,1,594,150,83,216,-1,-1,-1
17,13,466,142,20,43,-1,-1,-1
17,11,540,149,20,49,-1,-1,-1
17,10,299,142,73,180,-1,-1,-1
17,7,507,144,24,63,-1,-1,-1
